          Teff = 3500 K,  log g = 0.0,  [M/H] = -4.5

 Stromgren      u     1    0.472 (0.0380)    0.542  0.105 (0.0094)    0.314  0.263 (0.0044)
                v     2    0.591 (0.0643)    0.740  0.224 (0.0124)    0.255  0.560 (0.0230)
                b     3    0.547 (0.0729)    0.711  0.246 (0.0079)    0.178  0.615 (0.0195)
                y     4    0.483 (0.0799)    0.655  0.259 (0.0019)    0.095  0.647 (0.0130)
 Johnson        U     5    0.557 (0.0530)    0.677  0.180 (0.0057)    0.287  0.449 (0.0142)
                B     6    0.571 (0.0678)    0.726  0.233 (0.0103)    0.221  0.582 (0.0213)
                V     7    0.485 (0.0794)    0.656  0.257 (0.0019)    0.099  0.643 (0.0131)
                R     8    0.398 (0.0819)    0.566  0.251 (0.0081)    0.022  0.627 (0.0040)
                I     9    0.321 (0.0892)    0.496  0.262 (0.0149)   -0.071  0.654 (0.0023)
                J    10    0.258 (0.0896)    0.428  0.254 (0.0198)   -0.122  0.634 (0.0076)
                K    11    0.165 (0.0762)    0.299  0.201 (0.0239)   -0.137  0.503 (0.0143)
                L    12    0.113 (0.0600)    0.214  0.152 (0.0220)   -0.115  0.379 (0.0148)
                M    13    0.085 (0.0488)    0.166  0.120 (0.0192)   -0.095  0.301 (0.0136)
                N    14    0.048 (0.0300)    0.095  0.071 (0.0131)   -0.059  0.178 (0.0097)
 Cousins        Rc   15    0.416 (0.0818)    0.585  0.253 (0.0065)    0.036  0.634 (0.0058)
                Ic   16    0.330 (0.0823)    0.491  0.241 (0.0140)   -0.032  0.604 (0.0025)
 Bessell        UX   17    0.551 (0.0509)    0.665  0.170 (0.0042)    0.295  0.426 (0.0123)
 Bessell        BX   18    0.569 (0.0681)    0.725  0.234 (0.0101)    0.219  0.584 (0.0212)
 Bessell        B    19    0.571 (0.0678)    0.726  0.233 (0.0103)    0.222  0.582 (0.0213)
 Bessell        V    20    0.484 (0.0794)    0.656  0.257 (0.0019)    0.098  0.643 (0.0130)
 Bessell        R    21    0.416 (0.0818)    0.585  0.253 (0.0066)    0.036  0.633 (0.0057)
 Bessell        I    22    0.328 (0.0846)    0.493  0.248 (0.0143)   -0.045  0.620 (0.0024)
 Tycho         TyB   23    0.581 (0.0654)    0.732  0.226 (0.0113)    0.242  0.566 (0.0220)
               TyV   24    0.499 (0.0779)    0.669  0.255 (0.0030)    0.117  0.637 (0.0145)
 Hipparchos    HIP   25    0.528 (0.0724)    0.689  0.242 (0.0057)    0.166  0.604 (0.0171)
 KEPLER              26    0.464 (0.0785)    0.631  0.251 (0.0020)    0.087  0.628 (0.0109)
 COROT SIS           27    0.473 (0.0769)    0.638  0.248 (0.0016)    0.101  0.620 (0.0117)
 COROT EXO           28    0.468 (0.0773)    0.634  0.248 (0.0017)    0.096  0.621 (0.0112)
 Geneva         U    29    0.492 (0.0388)    0.567  0.112 (0.0074)    0.325  0.280 (0.0020)
                B    30    0.582 (0.0655)    0.733  0.227 (0.0114)    0.242  0.567 (0.0221)
                B1   31    0.595 (0.0623)    0.740  0.218 (0.0126)    0.268  0.545 (0.0230)
                B2   32    0.562 (0.0701)    0.722  0.239 (0.0095)    0.204  0.598 (0.0208)
                V    33    0.484 (0.0796)    0.656  0.258 (0.0019)    0.098  0.644 (0.0131)
                V1   34    0.490 (0.0793)    0.661  0.258 (0.0022)    0.103  0.644 (0.0136)
                G    35    0.458 (0.0813)    0.631  0.259 (0.0028)    0.070  0.647 (0.0102)
 Vilnius        U    36    0.484 (0.0361)    0.550  0.099 (0.0093)    0.335  0.248 (0.0045)
                P    37    0.569 (0.0568)    0.699  0.195 (0.0083)    0.276  0.489 (0.0176)
                X    38    0.595 (0.0630)    0.742  0.220 (0.0127)    0.265  0.550 (0.0232)
                Y    39    0.548 (0.0727)    0.711  0.245 (0.0080)    0.179  0.614 (0.0195)
                Z    40    0.507 (0.0778)    0.677  0.256 (0.0037)    0.123  0.640 (0.0155)
                V    41    0.485 (0.0798)    0.657  0.258 (0.0019)    0.097  0.646 (0.0131)
                S    42    0.403 (0.0813)    0.569  0.249 (0.0080)    0.029  0.623 (0.0041)
 Milone         iz   43    0.299 (0.0943)    0.481  0.274 (0.0170)   -0.112  0.685 (0.0039)
                iJ   44    0.251 (0.0889)    0.418  0.250 (0.0204)   -0.124  0.626 (0.0084)
                iH   45    0.203 (0.0884)    0.362  0.239 (0.0246)   -0.156  0.599 (0.0131)
                iK   46    0.161 (0.0747)    0.292  0.197 (0.0236)   -0.134  0.492 (0.0143)
 YMS94         iz    47    0.299 (0.0943)    0.481  0.274 (0.0170)   -0.112  0.685 (0.0039)
               iJ    48    0.251 (0.0889)    0.418  0.250 (0.0204)   -0.124  0.626 (0.0084)
               iH    49    0.203 (0.0884)    0.362  0.239 (0.0246)   -0.156  0.599 (0.0131)
               iK    50    0.161 (0.0747)    0.292  0.197 (0.0236)   -0.134  0.492 (0.0143)
               iL    51    0.105 (0.0576)    0.201  0.144 (0.0219)   -0.111  0.360 (0.0151)
               iLp   52    0.100 (0.0557)    0.192  0.139 (0.0214)   -0.108  0.346 (0.0148)
               iM    53    0.084 (0.0496)    0.165  0.121 (0.0199)   -0.099  0.304 (0.0142)
               in    54    0.048 (0.0304)    0.096  0.072 (0.0131)   -0.061  0.181 (0.0098)
               iN    55    0.044 (0.0278)    0.088  0.065 (0.0123)   -0.054  0.164 (0.0093)
 Sloan DSS      u    56    0.532 (0.0457)    0.631  0.147 (0.0009)    0.311  0.369 (0.0070)
                g    57    0.542 (0.0725)    0.705  0.244 (0.0073)    0.176  0.610 (0.0188)
                r    58    0.431 (0.0817)    0.601  0.255 (0.0053)    0.048  0.638 (0.0072)
                i    59    0.344 (0.0819)    0.506  0.243 (0.0128)   -0.020  0.606 (0.0013)
                z    60    0.316 (0.0952)    0.502  0.279 (0.0157)   -0.103  0.699 (0.0022)
 HST STIS Ly_alpha   61    1.419 (0.2950)    0.708 -1.066 (0.0542)    3.018 -2.665 (0.1042)
            Fclear   62    1.392 (0.2773)    0.739 -0.980 (0.0414)    2.862 -2.449 (0.0879)
             Fsrf2   63    1.374 (0.2676)    0.748 -0.940 (0.0372)    2.784 -2.349 (0.0819)
              Fqtz   64    1.296 (0.2270)    0.779 -0.776 (0.0211)    2.460 -1.939 (0.0583)
              CIII   65    1.137 (0.1455)    0.815 -0.483 (0.0050)    1.862 -1.208 (0.0276)
              MgII   66    0.718 (0.0085)    0.695 -0.035 (0.0064)    0.771 -0.087 (0.0080)
            Nclear   67    1.016 (0.1093)    0.766 -0.375 (0.0099)    1.578 -0.936 (0.0277)
             Nsrf2   68    1.002 (0.1028)    0.769 -0.350 (0.0083)    1.527 -0.875 (0.0249)
              Nqtz   69    0.993 (0.0985)    0.770 -0.334 (0.0073)    1.494 -0.835 (0.0231)
             cn182   70    1.148 (0.1570)    0.796 -0.528 (0.0093)    1.941 -1.321 (0.0344)
             cn270   71    0.773 (0.0203)    0.723 -0.076 (0.0056)    0.886 -0.189 (0.0091)
            Oclear   72    0.476 (0.0744)    0.636  0.239 (0.0017)    0.118  0.598 (0.0109)
         Oclear-lp   73    0.387 (0.0838)    0.557  0.255 (0.0091)    0.004  0.638 (0.0032)
             [OII]   74    0.577 (0.0584)    0.711  0.201 (0.0088)    0.275  0.503 (0.0183)
            [OIII]   75    0.518 (0.0767)    0.687  0.253 (0.0048)    0.138  0.634 (0.0165)
 2MASS          J    76    0.254 (0.0892)    0.422  0.252 (0.0201)   -0.124  0.629 (0.0081)
 2MASS          H    77    0.201 (0.0877)    0.359  0.237 (0.0246)   -0.155  0.593 (0.0132)
 2MASS          Ks   78    0.164 (0.0757)    0.298  0.200 (0.0237)   -0.136  0.500 (0.0142)
 SWASP               79    0.501 (0.0759)    0.666  0.249 (0.0031)    0.128  0.621 (0.0145)
 MOST                80    0.491 (0.0765)    0.657  0.249 (0.0023)    0.117  0.623 (0.0136)
 GAIA (2006)    G    81    0.481 (0.0761)    0.646  0.247 (0.0017)    0.111  0.616 (0.0124)
 GAIA (2010)    G    82    0.463 (0.0776)    0.629  0.249 (0.0020)    0.091  0.621 (0.0107)
 GAIA (2010)    BP   83    0.509 (0.0744)    0.672  0.245 (0.0037)    0.141  0.612 (0.0150)
 GAIA (2010)    RP   84    0.349 (0.0851)    0.518  0.253 (0.0125)   -0.031  0.633 (0.0004)
 GAIA (2010)  G_RV   85    0.311 (0.0974)    0.502  0.285 (0.0162)   -0.117  0.714 (0.0025)
 Milone        230   86    0.979 (0.0808)    0.798 -0.271 (0.0043)    1.386 -0.678 (0.0166)
               250   87    0.872 (0.0467)    0.765 -0.161 (0.0047)    1.113 -0.402 (0.0121)
               270   88    0.768 (0.0190)    0.721 -0.071 (0.0056)    0.875 -0.178 (0.0089)
               290   89    0.677 (0.0058)    0.672 -0.007 (0.0070)    0.687 -0.017 (0.0073)
               310   90    0.592 (0.0189)    0.620  0.043 (0.0084)    0.528  0.106 (0.0063)
               330   91    0.519 (0.0296)    0.570  0.077 (0.0096)    0.404  0.192 (0.0059)
 CaII triplet  858   92    0.309 (0.0974)    0.498  0.285 (0.0165)   -0.119  0.712 (0.0027)
 WIRE  Johnson V+R   93    0.436 (0.0807)    0.605  0.254 (0.0044)    0.056  0.634 (0.0080)
               LUT   94    0.667 (0.0095)    0.682  0.023 (0.0033)    0.632  0.058 (0.0023)
              TESS   95    0.366 (0.0852)    0.537  0.256 (0.0110)   -0.018  0.640 (0.0013)


          Teff = 8500 K,  log g = 2.0,  [M/H] = -4.5

 bolometric           0    0.588 (0.0319)    0.649  0.091 (0.0057)    0.451  0.229 (0.0022)
 Stromgren      u     1    0.461 (0.0373)    0.530  0.103 (0.0093)    0.306  0.258 (0.0043)
                v     2    0.593 (0.0810)    0.777  0.276 (0.0113)    0.179  0.691 (0.0243)
                b     3    0.549 (0.0846)    0.736  0.282 (0.0065)    0.126  0.704 (0.0196)
                y     4    0.479 (0.0852)    0.662  0.274 (0.0020)    0.069  0.684 (0.0122)
 Johnson        U     5    0.545 (0.0653)    0.689  0.216 (0.0040)    0.222  0.539 (0.0139)
                B     6    0.572 (0.0823)    0.757  0.277 (0.0089)    0.156  0.693 (0.0219)
                V     7    0.481 (0.0850)    0.663  0.273 (0.0019)    0.071  0.683 (0.0125)
                R     8    0.389 (0.0806)    0.554  0.248 (0.0078)    0.017  0.619 (0.0042)
                I     9    0.305 (0.0828)    0.467  0.244 (0.0136)   -0.061  0.610 (0.0020)
                J    10    0.244 (0.0793)    0.395  0.227 (0.0165)   -0.097  0.567 (0.0057)
                K    11    0.152 (0.0611)    0.262  0.165 (0.0177)   -0.095  0.412 (0.0100)
                L    12    0.103 (0.0448)    0.181  0.117 (0.0151)   -0.072  0.291 (0.0096)
                M    13    0.077 (0.0351)    0.137  0.089 (0.0127)   -0.057  0.223 (0.0086)
                N    14    0.043 (0.0210)    0.077  0.052 (0.0084)   -0.035  0.129 (0.0060)
 Cousins        Rc   15    0.408 (0.0819)    0.577  0.254 (0.0066)    0.027  0.634 (0.0057)
                Ic   16    0.318 (0.0757)    0.467  0.224 (0.0122)   -0.018  0.560 (0.0017)
 Bessell        UX   17    0.540 (0.0619)    0.675  0.203 (0.0028)    0.236  0.507 (0.0120)
 Bessell        BX   18    0.571 (0.0824)    0.756  0.278 (0.0088)    0.154  0.694 (0.0218)
 Bessell        B    19    0.572 (0.0823)    0.757  0.277 (0.0089)    0.156  0.693 (0.0219)
 Bessell        V    20    0.480 (0.0850)    0.662  0.273 (0.0019)    0.070  0.683 (0.0124)
 Bessell        R    21    0.407 (0.0818)    0.576  0.254 (0.0066)    0.027  0.634 (0.0056)
 Bessell        I    22    0.313 (0.0781)    0.467  0.231 (0.0127)   -0.033  0.576 (0.0018)
 Tycho         TyB   23    0.582 (0.0811)    0.765  0.275 (0.0099)    0.170  0.687 (0.0228)
               TyV   24    0.496 (0.0850)    0.680  0.275 (0.0020)    0.083  0.688 (0.0139)
 Hipparchos    HIP   25    0.527 (0.0827)    0.709  0.273 (0.0046)    0.118  0.682 (0.0172)
 KEPLER              26    0.459 (0.0829)    0.636  0.264 (0.0025)    0.063  0.661 (0.0108)
 COROT SIS           27    0.469 (0.0824)    0.645  0.264 (0.0019)    0.072  0.661 (0.0118)
 COROT EXO           28    0.464 (0.0824)    0.640  0.264 (0.0021)    0.068  0.659 (0.0113)
 Geneva         U    29    0.478 (0.0398)    0.554  0.114 (0.0081)    0.307  0.284 (0.0027)
                B    30    0.583 (0.0812)    0.766  0.275 (0.0100)    0.170  0.688 (0.0229)
                B1   31    0.594 (0.0795)    0.775  0.271 (0.0112)    0.187  0.679 (0.0240)
                B2   32    0.564 (0.0835)    0.751  0.280 (0.0081)    0.144  0.700 (0.0212)
                V    33    0.481 (0.0851)    0.663  0.274 (0.0019)    0.070  0.684 (0.0124)
                V1   34    0.486 (0.0853)    0.670  0.275 (0.0018)    0.074  0.687 (0.0130)
                G    35    0.452 (0.0845)    0.631  0.268 (0.0036)    0.051  0.670 (0.0096)
 Vilnius        U    36    0.474 (0.0356)    0.540  0.098 (0.0091)    0.327  0.245 (0.0044)
                P    37    0.551 (0.0715)    0.710  0.237 (0.0054)    0.195  0.593 (0.0163)
                X    38    0.597 (0.0803)    0.779  0.274 (0.0116)    0.185  0.686 (0.0245)
                Y    39    0.549 (0.0845)    0.737  0.281 (0.0065)    0.127  0.703 (0.0196)
                Z    40    0.505 (0.0855)    0.690  0.278 (0.0025)    0.088  0.695 (0.0149)
                V    41    0.481 (0.0853)    0.664  0.274 (0.0019)    0.070  0.685 (0.0124)
                S    42    0.390 (0.0808)    0.555  0.248 (0.0079)    0.018  0.620 (0.0041)
 Milone         iz   43    0.283 (0.0866)    0.452  0.253 (0.0151)   -0.096  0.633 (0.0030)
                iJ   44    0.236 (0.0781)    0.384  0.222 (0.0168)   -0.097  0.556 (0.0063)
                iH   45    0.183 (0.0745)    0.319  0.203 (0.0201)   -0.122  0.509 (0.0104)
                iK   46    0.149 (0.0597)    0.256  0.161 (0.0175)   -0.092  0.402 (0.0099)
 YMS94         iz    47    0.284 (0.0866)    0.452  0.253 (0.0151)   -0.096  0.633 (0.0030)
               iJ    48    0.236 (0.0781)    0.384  0.222 (0.0168)   -0.097  0.556 (0.0063)
               iH    49    0.183 (0.0744)    0.318  0.203 (0.0201)   -0.122  0.509 (0.0104)
               iK    50    0.149 (0.0597)    0.256  0.161 (0.0175)   -0.092  0.402 (0.0099)
               iL    51    0.095 (0.0424)    0.168  0.109 (0.0147)   -0.069  0.274 (0.0096)
               iLp   52    0.090 (0.0407)    0.159  0.104 (0.0145)   -0.067  0.260 (0.0096)
               iM    53    0.074 (0.0355)    0.133  0.089 (0.0132)   -0.060  0.224 (0.0090)
               in    54    0.043 (0.0213)    0.078  0.053 (0.0084)   -0.036  0.132 (0.0060)
               iN    55    0.039 (0.0195)    0.071  0.048 (0.0079)   -0.032  0.119 (0.0057)
 Sloan DSS      u    56    0.518 (0.0530)    0.630  0.168 (0.0023)    0.266  0.420 (0.0063)
                g    57    0.543 (0.0839)    0.728  0.278 (0.0059)    0.125  0.696 (0.0189)
                r    58    0.423 (0.0829)    0.595  0.259 (0.0056)    0.035  0.647 (0.0069)
                i    59    0.333 (0.0764)    0.485  0.228 (0.0112)   -0.009  0.570 (0.0008)
                z    60    0.295 (0.0890)    0.469  0.261 (0.0149)   -0.097  0.653 (0.0024)
 HST STIS Ly_alpha   61    1.463 (0.3146)    0.701 -1.143 (0.0615)    3.178 -2.858 (0.1152)
            Fclear   62    1.449 (0.3030)    0.729 -1.079 (0.0501)    3.067 -2.698 (0.1013)
             Fsrf2   63    1.432 (0.2932)    0.740 -1.038 (0.0457)    2.989 -2.596 (0.0951)
              Fqtz   64    1.345 (0.2451)    0.783 -0.843 (0.0262)    2.609 -2.107 (0.0666)
              CIII   65    1.152 (0.1425)    0.835 -0.476 (0.0065)    1.867 -1.190 (0.0291)
              MgII   66    0.712 (0.0056)    0.700 -0.018 (0.0068)    0.739 -0.046 (0.0077)
            Nclear   67    1.035 (0.1117)    0.777 -0.386 (0.0125)    1.614 -0.966 (0.0309)
             Nsrf2   68    1.018 (0.1039)    0.780 -0.357 (0.0105)    1.554 -0.892 (0.0275)
              Nqtz   69    1.007 (0.0982)    0.783 -0.336 (0.0091)    1.510 -0.839 (0.0251)
             cn182   70    1.174 (0.1609)    0.811 -0.545 (0.0120)    1.992 -1.363 (0.0380)
             cn270   71    0.767 (0.0144)    0.730 -0.056 (0.0063)    0.851 -0.140 (0.0089)
            Oclear   72    0.471 (0.0799)    0.642  0.256 (0.0021)    0.088  0.639 (0.0110)
         Oclear-lp   73    0.376 (0.0818)    0.543  0.250 (0.0087)    0.001  0.625 (0.0034)
             [OII]   74    0.529 (0.0761)    0.693  0.246 (0.0030)    0.161  0.614 (0.0128)
            [OIII]   75    0.517 (0.0856)    0.704  0.280 (0.0034)    0.097  0.700 (0.0162)
 2MASS          J    76    0.239 (0.0786)    0.389  0.224 (0.0167)   -0.097  0.561 (0.0060)
 2MASS          H    77    0.182 (0.0734)    0.316  0.200 (0.0199)   -0.119  0.501 (0.0104)
 2MASS          Ks   78    0.152 (0.0608)    0.261  0.164 (0.0176)   -0.094  0.410 (0.0098)
 SWASP               79    0.499 (0.0835)    0.679  0.271 (0.0023)    0.091  0.679 (0.0144)
 MOST                80    0.489 (0.0833)    0.668  0.270 (0.0019)    0.084  0.674 (0.0135)
 GAIA (2006)    G    81    0.478 (0.0823)    0.654  0.265 (0.0017)    0.080  0.663 (0.0125)
 GAIA (2010)    G    82    0.459 (0.0822)    0.634  0.263 (0.0024)    0.065  0.656 (0.0108)
 GAIA (2010)    BP   83    0.506 (0.0828)    0.686  0.270 (0.0028)    0.101  0.675 (0.0150)
 GAIA (2010)    RP   84    0.336 (0.0804)    0.496  0.240 (0.0114)   -0.025  0.601 (0.0006)
 GAIA (2010)  G_RV   85    0.278 (0.0914)    0.455  0.265 (0.0168)   -0.119  0.663 (0.0040)
 Milone        230   86    0.979 (0.0724)    0.815 -0.246 (0.0054)    1.348 -0.614 (0.0169)
               250   87    0.868 (0.0387)    0.777 -0.136 (0.0056)    1.072 -0.340 (0.0120)
               270   88    0.762 (0.0133)    0.728 -0.052 (0.0063)    0.840 -0.130 (0.0088)
               290   89    0.670 (0.0083)    0.675  0.006 (0.0072)    0.661  0.016 (0.0069)
               310   90    0.586 (0.0204)    0.618  0.048 (0.0082)    0.513  0.121 (0.0059)
               330   91    0.513 (0.0294)    0.565  0.078 (0.0089)    0.397  0.194 (0.0052)
 CaII triplet  858   92    0.273 (0.0915)    0.449  0.264 (0.0172)   -0.124  0.661 (0.0045)
 WIRE  Johnson V+R   93    0.430 (0.0825)    0.602  0.259 (0.0048)    0.041  0.648 (0.0078)
               LUT   94    0.660 (0.0163)    0.690  0.044 (0.0040)    0.594  0.111 (0.0020)
              TESS   95    0.353 (0.0817)    0.518  0.247 (0.0103)   -0.017  0.617 (0.0016)


          Teff = 8500 K,  log g = 2.5,  [M/H] = -4.5

 bolometric           0    0.593 (0.0320)    0.653  0.091 (0.0062)    0.456  0.227 (0.0022)
 Stromgren      u     1    0.462 (0.0360)    0.529  0.100 (0.0089)    0.312  0.250 (0.0041)
                v     2    0.598 (0.0908)    0.801  0.304 (0.0081)    0.141  0.761 (0.0224)
                b     3    0.555 (0.0905)    0.754  0.298 (0.0044)    0.107  0.746 (0.0183)
                y     4    0.481 (0.0869)    0.666  0.278 (0.0021)    0.063  0.696 (0.0117)
 Johnson        U     5    0.532 (0.0722)    0.687  0.232 (0.0019)    0.184  0.580 (0.0108)
                B     6    0.576 (0.0905)    0.776  0.301 (0.0061)    0.125  0.752 (0.0202)
                V     7    0.483 (0.0867)    0.668  0.278 (0.0020)    0.066  0.695 (0.0119)
                R     8    0.386 (0.0780)    0.547  0.241 (0.0068)    0.024  0.603 (0.0048)
                I     9    0.297 (0.0764)    0.448  0.228 (0.0112)   -0.045  0.569 (0.0007)
                J    10    0.237 (0.0711)    0.375  0.207 (0.0129)   -0.074  0.518 (0.0031)
                K    11    0.146 (0.0510)    0.241  0.142 (0.0129)   -0.066  0.354 (0.0062)
                L    12    0.099 (0.0354)    0.162  0.096 (0.0103)   -0.045  0.239 (0.0059)
                M    13    0.073 (0.0269)    0.120  0.071 (0.0087)   -0.033  0.177 (0.0054)
                N    14    0.040 (0.0162)    0.067  0.042 (0.0058)   -0.023  0.104 (0.0038)
 Cousins        Rc   15    0.406 (0.0800)    0.572  0.249 (0.0060)    0.032  0.623 (0.0061)
                Ic   16    0.314 (0.0700)    0.454  0.210 (0.0098)    0.000  0.524 (0.0009)
 Bessell        UX   17    0.528 (0.0678)    0.673  0.216 (0.0021)    0.204  0.541 (0.0092)
 Bessell        BX   18    0.575 (0.0905)    0.775  0.301 (0.0060)    0.124  0.751 (0.0201)
 Bessell        B    19    0.576 (0.0905)    0.777  0.301 (0.0061)    0.125  0.752 (0.0202)
 Bessell        V    20    0.482 (0.0867)    0.668  0.278 (0.0020)    0.065  0.695 (0.0118)
 Bessell        R    21    0.405 (0.0800)    0.571  0.249 (0.0060)    0.032  0.623 (0.0060)
 Bessell        I    22    0.307 (0.0721)    0.451  0.215 (0.0104)   -0.016  0.538 (0.0008)
 Tycho         TyB   23    0.584 (0.0903)    0.784  0.301 (0.0067)    0.133  0.752 (0.0208)
               TyV   24    0.498 (0.0877)    0.686  0.283 (0.0015)    0.074  0.707 (0.0131)
 Hipparchos    HIP   25    0.529 (0.0880)    0.721  0.288 (0.0028)    0.097  0.719 (0.0160)
 KEPLER              26    0.460 (0.0840)    0.638  0.268 (0.0026)    0.058  0.670 (0.0105)
 COROT SIS           27    0.469 (0.0843)    0.649  0.270 (0.0021)    0.064  0.675 (0.0113)
 COROT EXO           28    0.464 (0.0840)    0.643  0.269 (0.0023)    0.061  0.671 (0.0110)
 Geneva         U    29    0.475 (0.0393)    0.549  0.111 (0.0085)    0.308  0.278 (0.0032)
                B    30    0.585 (0.0905)    0.786  0.301 (0.0068)    0.133  0.754 (0.0209)
                B1   31    0.594 (0.0901)    0.794  0.301 (0.0074)    0.142  0.752 (0.0215)
                B2   32    0.570 (0.0909)    0.771  0.301 (0.0056)    0.118  0.753 (0.0197)
                V    33    0.483 (0.0868)    0.668  0.278 (0.0020)    0.065  0.696 (0.0119)
                V1   34    0.489 (0.0873)    0.676  0.281 (0.0017)    0.068  0.701 (0.0123)
                G    35    0.453 (0.0846)    0.632  0.268 (0.0037)    0.051  0.670 (0.0094)
 Vilnius        U    36    0.476 (0.0346)    0.540  0.096 (0.0087)    0.333  0.239 (0.0041)
                P    37    0.528 (0.0807)    0.701  0.259 (0.0024)    0.140  0.648 (0.0122)
                X    38    0.599 (0.0906)    0.802  0.304 (0.0081)    0.143  0.760 (0.0224)
                Y    39    0.555 (0.0906)    0.754  0.299 (0.0044)    0.107  0.747 (0.0184)
                Z    40    0.509 (0.0884)    0.699  0.286 (0.0015)    0.079  0.715 (0.0140)
                V    41    0.483 (0.0870)    0.669  0.279 (0.0020)    0.064  0.698 (0.0119)
                S    42    0.383 (0.0786)    0.545  0.242 (0.0072)    0.020  0.606 (0.0045)
 Milone         iz   43    0.277 (0.0791)    0.434  0.234 (0.0121)   -0.074  0.586 (0.0011)
                iJ   44    0.230 (0.0697)    0.365  0.202 (0.0131)   -0.073  0.505 (0.0036)
                iH   45    0.171 (0.0641)    0.291  0.179 (0.0155)   -0.097  0.448 (0.0070)
                iK   46    0.143 (0.0498)    0.235  0.138 (0.0127)   -0.064  0.345 (0.0062)
 YMS94         iz    47    0.278 (0.0791)    0.434  0.234 (0.0121)   -0.074  0.586 (0.0011)
               iJ    48    0.230 (0.0697)    0.365  0.202 (0.0131)   -0.073  0.505 (0.0036)
               iH    49    0.171 (0.0641)    0.290  0.179 (0.0155)   -0.097  0.447 (0.0070)
               iK    50    0.143 (0.0497)    0.235  0.138 (0.0127)   -0.064  0.345 (0.0062)
               iL    51    0.091 (0.0329)    0.150  0.088 (0.0100)   -0.041  0.220 (0.0059)
               iLp   52    0.085 (0.0314)    0.140  0.083 (0.0099)   -0.040  0.207 (0.0060)
               iM    53    0.068 (0.0269)    0.115  0.070 (0.0090)   -0.037  0.175 (0.0057)
               in    54    0.040 (0.0163)    0.068  0.042 (0.0058)   -0.022  0.104 (0.0039)
               iN    55    0.036 (0.0153)    0.062  0.040 (0.0054)   -0.023  0.099 (0.0036)
 Sloan DSS      u    56    0.506 (0.0563)    0.622  0.174 (0.0048)    0.246  0.434 (0.0038)
                g    57    0.547 (0.0898)    0.744  0.295 (0.0038)    0.104  0.738 (0.0176)
                r    58    0.421 (0.0817)    0.592  0.256 (0.0053)    0.038  0.639 (0.0071)
                i    59    0.330 (0.0714)    0.474  0.216 (0.0091)    0.007  0.539 (0.0015)
                z    60    0.283 (0.0819)    0.444  0.243 (0.0125)   -0.081  0.606 (0.0010)
 HST STIS Ly_alpha   61    1.479 (0.3192)    0.706 -1.161 (0.0630)    3.220 -2.901 (0.1175)
            Fclear   62    1.472 (0.3114)    0.731 -1.111 (0.0524)    3.137 -2.776 (0.1052)
             Fsrf2   63    1.455 (0.3014)    0.742 -1.069 (0.0480)    3.058 -2.672 (0.0988)
              Fqtz   64    1.362 (0.2482)    0.794 -0.853 (0.0266)    2.641 -2.132 (0.0675)
              CIII   65    1.154 (0.1349)    0.854 -0.450 (0.0062)    1.829 -1.125 (0.0277)
              MgII   66    0.717 (0.0056)    0.709 -0.011 (0.0070)    0.733 -0.028 (0.0075)
            Nclear   67    1.043 (0.1095)    0.790 -0.379 (0.0130)    1.612 -0.948 (0.0311)
             Nsrf2   68    1.026 (0.1011)    0.794 -0.348 (0.0108)    1.548 -0.870 (0.0275)
              Nqtz   69    1.013 (0.0947)    0.797 -0.324 (0.0092)    1.499 -0.810 (0.0248)
             cn182   70    1.181 (0.1571)    0.826 -0.532 (0.0120)    1.979 -1.330 (0.0375)
             cn270   71    0.771 (0.0115)    0.741 -0.045 (0.0065)    0.839 -0.113 (0.0087)
            Oclear   72    0.471 (0.0817)    0.645  0.261 (0.0024)    0.079  0.653 (0.0106)
         Oclear-lp   73    0.373 (0.0786)    0.534  0.242 (0.0075)    0.010  0.605 (0.0041)
             [OII]   74    0.464 (0.0905)    0.649  0.278 (0.0080)    0.048  0.694 (0.0063)
            [OIII]   75    0.521 (0.0894)    0.715  0.291 (0.0020)    0.085  0.727 (0.0152)
 2MASS          J    76    0.233 (0.0702)    0.369  0.204 (0.0130)   -0.073  0.510 (0.0034)
 2MASS          H    77    0.172 (0.0629)    0.289  0.175 (0.0153)   -0.091  0.439 (0.0069)
 2MASS          Ks   78    0.146 (0.0508)    0.240  0.141 (0.0128)   -0.066  0.353 (0.0061)
 SWASP               79    0.501 (0.0868)    0.688  0.281 (0.0015)    0.079  0.702 (0.0137)
 MOST                80    0.490 (0.0860)    0.675  0.277 (0.0015)    0.074  0.694 (0.0129)
 GAIA (2006)    G    81    0.478 (0.0847)    0.659  0.272 (0.0017)    0.070  0.680 (0.0120)
 GAIA (2010)    G    82    0.459 (0.0836)    0.636  0.267 (0.0026)    0.059  0.667 (0.0105)
 GAIA (2010)    BP   83    0.508 (0.0866)    0.695  0.281 (0.0016)    0.086  0.702 (0.0141)
 GAIA (2010)    RP   84    0.330 (0.0754)    0.482  0.228 (0.0095)   -0.012  0.570 (0.0016)
 GAIA (2010)  G_RV   85    0.256 (0.0829)    0.417  0.241 (0.0151)   -0.105  0.601 (0.0035)
 Milone        230   86    0.980 (0.0655)    0.831 -0.223 (0.0056)    1.315 -0.558 (0.0163)
               250   87    0.870 (0.0337)    0.790 -0.120 (0.0060)    1.049 -0.299 (0.0117)
